versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.53109,0.66491375,0.6662279167,0.5196620833,0.5223970833,0.575605,0.6412116667,0.6443608333
,,dtd,0.9889539063,0.9899398438,0.9902773438,0.9873125,0.9877382813,0.9878921875,0.9902054688,0.9900992188
,,letters,0.9913239035,0.9921938596,0.992201843,0.990085307,0.9904217105,0.9900892544,0.9905245614,0.9904482456
,,mnist,0.9952084615,0.9952565385,0.9952330769,0.9944253846,0.9951926923,0.9899830769,0.9952842308,0.9951673077
,,tiny_imagenet_200,0.8176511497,0.8034324332,0.8324245321,0.7768295989,0.7720122861,0.8268768717,0.8242616043,0.812151484
,cifar100,cifar10,0.5274783333,0.51220375,0.5134895833,0.5173745833,0.5094495833,0.54114125,0.5106229167,0.50224875
,,dtd,0.928115625,0.9903601563,0.990503125,0.9717976563,0.9891117188,0.9888421875,0.9905289063,0.9898882813
,,letters,0.2605094298,0.9973355263,0.9973311404,0.9785934211,0.9826245614,0.9822403509,0.9973375,0.9973692982
,,mnist,0.4568846154,0.9952719231,0.9951261538,0.9820203846,0.9952961538,0.9889534615,0.9952873077,0.9950842308
,,tiny_imagenet_200,0.2709112567,0.9956978209,0.9955545722,0.9834302941,0.9884548797,0.9875408155,0.9959370989,0.9954540107
,super_cifar100,super_cifar100,0.8033216667,0.8041575,0.8039733333,0.7969391667,0.8007516667,0.8080248874,0.8033691667,0.7998258333
without OE,cifar10,cifar100,0.6551491667,0.5791270833,0.6544241667,0.5788875,0.63998375,0.7347841667,0.6402983333,0.6207991667
,,dtd,0.9822164063,0.9539273438,0.98215625,0.9502851563,0.9791835938,0.9890679688,0.9807359375,0.9752945313
,,letters,0.6075035088,0.4018984649,0.5785070175,0.398141886,0.5635486842,0.7423962719,0.6033837719,0.524383114
,,mnist,0.6516430769,0.5375615385,0.6405196154,0.5316026923,0.6208503846,0.7681646154,0.6374488462,0.5993842308
,,tiny_imagenet_200,0.5775922326,0.4242720187,0.5781096257,0.4215699064,0.5365485561,0.752756123,0.5474986364,0.5073840107
,cifar100,cifar10,0.5538570833,0.5217495833,0.55067375,0.5255070833,0.5124058333,0.5932904167,0.5359416667,0.5402825
,,dtd,0.9555257813,0.9389359375,0.9541304688,0.93780625,0.9385570313,0.9644695313,0.9502671875,0.9478671875
,,letters,0.3333866228,0.3130736842,0.3431712719,0.3495962719,0.3412230263,0.3380589912,0.3353765351,0.3301309211
,,mnist,0.4773830769,0.4740457692,0.4807915385,0.5073807692,0.4875511538,0.4807330769,0.4803011538,0.4758234615
,,tiny_imagenet_200,0.3658392246,0.3294134091,0.3702977406,0.3617966711,0.3324274198,0.4077375134,0.3446071791,0.3494569519
,super_cifar100,super_cifar100,0.8078241667,0.8035783333,0.8074741667,0.8031083333,0.8024541667,0.8160625,0.8052783333,0.8053383333
